Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG,Team
Max Lowe,ENG,"DF,MF",26,10,4,503,0,0,0,1,0,0.6,0.7,Sheffield-United
Anis Ben Slimane,TUN,MF,22,15,4,419,0,0,0,2,0,0.8,0.3,Sheffield-United
Benie Adama Traore,CIV,"FW,MF",20,8,3,387,0,0,0,0,0,0.3,0.5,Sheffield-United
Rhian Brewster,ENG,"FW,MF",23,13,3,346,0,0,0,0,1,0.4,0.1,Sheffield-United
Chris Basham,ENG,"DF,MF",35,8,3,321,0,0,0,1,0,0.1,0.3,Sheffield-United
Tom Davies,ENG,MF,25,9,2,221,0,0,0,2,0,0.4,0.1,Sheffield-United
Rhys Norrington-Davies,WAL,DF,24,5,2,110,0,0,0,1,0,0,0,Sheffield-United
John Fleck,SCO,"MF,DF",31,4,1,92,0,0,0,1,0,0,0.4,Sheffield-United
Sam Curtis,IRL,DF,17,1,0,28,0,0,0,0,0,0,0,Sheffield-United
Daniel Jebbison,ENG,FW,19,1,0,21,0,0,0,0,0,0,0,Sheffield-United
Antwoine Hackford,ENG,FW,19,2,0,13,0,0,0,0,0,0,0,Sheffield-United
Sydie Peck,ENG,MF,18,1,0,10,0,0,0,0,0,0,0,Sheffield-United
Ryan One,SCO,FW,17,1,0,8,0,0,0,0,0,0,0,Sheffield-United
Jordan Amissah,GHA,GK,21,0,0,0,0,0,0,0,0,0,0,Sheffield-United
Billy Blacker,ENG,FW,17,0,0,0,0,0,0,0,0,0,0,Sheffield-United
Jili Buyabu,ENG,MF,21,0,0,0,0,0,0,0,0,0,0,Sheffield-United
Ismaila Cheick Coulibaly,MLI,MF,22,0,0,0,0,0,0,0,0,0,0,Sheffield-United
Adam Davies,WAL,GK,31,0,0,0,0,0,0,0,0,0,0,Sheffield-United
Owen Hampson,ENG,MF,18,0,0,0,0,0,0,0,0,0,0,Sheffield-United
Louie Marsh,ENG,FW,19,0,0,0,0,0,0,0,0,0,0,Sheffield-United
Dovydas Sasnauskas,0,DF,0,0,0,0,0,0,0,0,0,0,0,Sheffield-United
Femi Seriki,ENG,DF,21,0,0,0,0,0,0,0,0,0,0,Sheffield-United
